設備名,,推論時刻,conf値
N1,,2024/04/09 11:00:08,0.85
N1,,2024/04/09 11:00:09,0.90
N1,,2024/04/09 11:00:13,0.92
N1,,2024/04/09 11:00:14,0.79
N1,,2024/04/09 11:01:46,0.58
N1,,2024/04/09 11:01:48,0.70
N1,,2024/04/09 11:01:49,0.72
N1,,2024/04/09 11:01:50,0.57
N1,,2024/04/09 11:02:01,0.88
N1,,2024/04/09 11:02:02,0.87
N1,,2024/04/09 11:02:03,0.85
N1,,2024/04/09 11:02:49,0.89
N1,,2024/04/09 11:02:50,0.85
N1,,2024/04/09 11:02:51,0.90
N1,,2024/04/09 11:02:52,0.88
N1,,2024/04/09 11:02:53,0.89
N1,,2024/04/09 11:02:54,0.91
N1,,2024/04/09 11:02:55,0.92
N1,,2024/04/09 11:02:56,0.91
N1,,2024/04/09 11:02:56,0.91
N1,,2024/04/09 11:02:57,0.92
N1,,2024/04/09 11:02:58,0.92
N1,,2024/04/09 11:02:59,0.91
N1,,2024/04/09 11:03:00,0.87
N1,,2024/04/09 11:03:01,0.90
N1,,2024/04/09 11:03:02,0.89
N1,,2024/04/09 11:03:03,0.89
N1,,2024/04/09 11:03:04,0.90
N1,,2024/04/09 11:03:05,0.92
N1,,2024/04/09 11:03:06,0.92
N1,,2024/04/09 11:03:07,0.91
N1,,2024/04/09 11:03:08,0.91
N1,,2024/04/09 11:03:09,0.91
N1,,2024/04/09 11:03:10,0.91
N1,,2024/04/09 11:03:11,0.92
N1,,2024/04/09 11:03:12,0.92
N1,,2024/04/09 11:03:13,0.68
N1,,2024/04/09 11:05:22,0.89
N1,,2024/04/09 11:05:23,0.88
N1,,2024/04/09 11:05:24,0.70
N1,,2024/04/09 11:05:25,0.61
N1,,2024/04/09 11:06:10,0.73
N1,,2024/04/09 11:06:11,0.77
N1,,2024/04/09 11:06:23,0.87
N1,,2024/04/09 11:06:24,0.69
N1,,2024/04/09 11:08:31,0.41
N1,,2024/04/09 11:08:31,0.40
N1,,2024/04/09 11:08:32,0.88
N1,,2024/04/09 11:08:33,0.91
N1,,2024/04/09 11:08:34,0.92
N1,,2024/04/09 11:08:38,0.82
N1,,2024/04/09 11:08:39,0.91
N1,,2024/04/09 11:08:40,0.93
N1,,2024/04/09 11:08:42,0.90
N1,,2024/04/09 11:08:43,0.48
N1,,2024/04/09 11:09:20,0.84
N1,,2024/04/09 11:09:21,0.94
N1,,2024/04/09 11:09:22,0.91
N1,,2024/04/09 11:09:23,0.92
N1,,2024/04/09 11:09:23,0.90
N1,,2024/04/09 11:09:24,0.94
N1,,2024/04/09 11:09:25,0.68
N1,,2024/04/09 11:09:26,0.93
N1,,2024/04/09 11:09:27,0.94
N1,,2024/04/09 11:09:28,0.91
N1,,2024/04/09 11:09:29,0.92
N1,,2024/04/09 11:09:30,0.93
N1,,2024/04/09 11:09:31,0.93
N1,,2024/04/09 11:09:32,0.92
N1,,2024/04/09 11:09:33,0.91
N1,,2024/04/09 11:09:34,0.91
N1,,2024/04/09 11:09:35,0.92
N1,,2024/04/09 11:09:36,0.92
N1,,2024/04/09 11:09:37,0.93
N1,,2024/04/09 11:09:38,0.90
N1,,2024/04/09 11:09:39,0.91
N1,,2024/04/09 11:09:40,0.82
N1,,2024/04/09 11:09:41,0.74
N1,,2024/04/09 11:09:42,0.92
N1,,2024/04/09 11:09:43,0.92
N1,,2024/04/09 11:09:44,0.91
N1,,2024/04/09 11:09:45,0.93
N1,,2024/04/09 11:09:46,0.91
N1,,2024/04/09 11:09:47,0.92
N1,,2024/04/09 11:09:48,0.92
N1,,2024/04/09 11:09:49,0.92
N1,,2024/04/09 11:09:50,0.91
N1,,2024/04/09 11:09:51,0.91
N1,,2024/04/09 11:09:52,0.89
N1,,2024/04/09 11:09:52,0.93
N1,,2024/04/09 11:09:53,0.92
N1,,2024/04/09 11:09:54,0.89
N1,,2024/04/09 11:09:55,0.92
N1,,2024/04/09 11:09:56,0.92
N1,,2024/04/09 11:09:57,0.91
N1,,2024/04/09 11:09:58,0.91
N1,,2024/04/09 11:09:59,0.93
N1,,2024/04/09 11:10:00,0.93
N1,,2024/04/09 11:10:00,0.90
N1,,2024/04/09 11:10:01,0.59
N1,,2024/04/09 11:11:35,0.90
N1,,2024/04/09 11:11:36,0.90
N1,,2024/04/09 11:11:37,0.85
N1,,2024/04/09 11:11:38,0.87
N1,,2024/04/09 11:11:39,0.63
N1,,2024/04/09 11:11:44,0.75
N1,,2024/04/09 11:11:45,0.88
N1,,2024/04/09 11:11:46,0.93
N1,,2024/04/09 11:11:47,0.72
N1,,2024/04/09 11:12:44,0.88
N1,,2024/04/09 11:13:09,0.68
N1,,2024/04/09 11:13:10,0.89
N1,,2024/04/09 11:15:16,0.85
N1,,2024/04/09 11:15:17,0.89
N1,,2024/04/09 11:15:18,0.90
N1,,2024/04/09 11:15:19,0.88
N1,,2024/04/09 11:15:20,0.89
N1,,2024/04/09 11:15:21,0.90
N1,,2024/04/09 11:15:22,0.89
N1,,2024/04/09 11:15:23,0.88
N1,,2024/04/09 11:15:24,0.93
N1,,2024/04/09 11:15:25,0.92
N1,,2024/04/09 11:15:26,0.90
N1,,2024/04/09 11:15:27,0.93
N1,,2024/04/09 11:15:28,0.88
N1,,2024/04/09 11:15:29,0.93
N1,,2024/04/09 11:15:30,0.94
N1,,2024/04/09 11:15:31,0.94
N1,,2024/04/09 11:15:31,0.86
N1,,2024/04/09 11:15:32,0.60
N1,,2024/04/09 11:15:33,0.94
N1,,2024/04/09 11:15:34,0.94
N1,,2024/04/09 11:15:35,0.94
N1,,2024/04/09 11:15:36,0.90
N1,,2024/04/09 11:15:37,0.90
N1,,2024/04/09 11:15:38,0.91
N1,,2024/04/09 11:15:39,0.93
N1,,2024/04/09 11:15:40,0.91
N1,,2024/04/09 11:15:41,0.91
N1,,2024/04/09 11:15:42,0.92
N1,,2024/04/09 11:15:43,0.92
N1,,2024/04/09 11:15:44,0.91
N1,,2024/04/09 11:15:45,0.92
N1,,2024/04/09 11:15:46,0.86
N1,,2024/04/09 11:15:47,0.92
N1,,2024/04/09 11:15:48,0.87
N1,,2024/04/09 11:15:49,0.93
N1,,2024/04/09 11:15:50,0.91
N1,,2024/04/09 11:15:51,0.92
N1,,2024/04/09 11:15:52,0.90
N1,,2024/04/09 11:15:53,0.93
N1,,2024/04/09 11:15:54,0.84
N1,,2024/04/09 11:15:55,0.92
N1,,2024/04/09 11:15:56,0.93
N1,,2024/04/09 11:15:57,0.93
N1,,2024/04/09 11:15:58,0.88
N1,,2024/04/09 11:15:59,0.91
N1,,2024/04/09 11:16:00,0.89
N1,,2024/04/09 11:16:01,0.91
N1,,2024/04/09 11:16:02,0.93
N1,,2024/04/09 11:16:03,0.92
N1,,2024/04/09 11:16:03,0.90
N1,,2024/04/09 11:16:04,0.93
N1,,2024/04/09 11:16:05,0.92
N1,,2024/04/09 11:16:06,0.92
N1,,2024/04/09 11:16:07,0.92
N1,,2024/04/09 11:16:08,0.93
N1,,2024/04/09 11:16:09,0.92
N1,,2024/04/09 11:16:10,0.95
N1,,2024/04/09 11:16:11,0.92
N1,,2024/04/09 11:16:12,0.89
N1,,2024/04/09 11:16:13,0.92
N1,,2024/04/09 11:16:14,0.93
N1,,2024/04/09 11:16:15,0.91
N1,,2024/04/09 11:16:16,0.92
N1,,2024/04/09 11:16:17,0.90
N1,,2024/04/09 11:16:18,0.94
N1,,2024/04/09 11:16:19,0.93
N1,,2024/04/09 11:16:20,0.95
N1,,2024/04/09 11:16:21,0.94
N1,,2024/04/09 11:16:22,0.93
N1,,2024/04/09 11:16:23,0.93
N1,,2024/04/09 11:17:27,0.40
N1,,2024/04/09 11:17:28,0.82
N1,,2024/04/09 11:17:29,0.93
N1,,2024/04/09 11:17:30,0.94
N1,,2024/04/09 11:17:31,0.90
N1,,2024/04/09 11:19:06,0.79
N1,,2024/04/09 11:19:07,0.89
N1,,2024/04/09 11:19:08,0.91
N1,,2024/04/09 11:19:09,0.93
N1,,2024/04/09 11:19:10,0.92
N1,,2024/04/09 11:19:11,0.93
N1,,2024/04/09 11:19:12,0.93
N1,,2024/04/09 11:19:13,0.64
N1,,2024/04/09 11:21:42,0.80
N1,,2024/04/09 11:21:44,0.84
N1,,2024/04/09 11:21:45,0.90
N1,,2024/04/09 11:21:46,0.89
N1,,2024/04/09 11:21:47,0.89
N1,,2024/04/09 11:21:48,0.88
N1,,2024/04/09 11:21:49,0.89
N1,,2024/04/09 11:21:50,0.74
N1,,2024/04/09 11:21:51,0.91
N1,,2024/04/09 11:21:52,0.79
N1,,2024/04/09 11:21:53,0.77
N1,,2024/04/09 11:21:54,0.85
N1,,2024/04/09 11:21:55,0.85
N1,,2024/04/09 11:21:56,0.91
N1,,2024/04/09 11:21:57,0.83
N1,,2024/04/09 11:22:02,0.74
N1,,2024/04/09 11:22:02,0.86
N1,,2024/04/09 11:22:03,0.74
N1,,2024/04/09 11:22:04,0.57
N1,,2024/04/09 11:49:52,0.80
N1,,2024/04/09 11:49:53,0.90
N1,,2024/04/09 11:49:54,0.65
N1,,2024/04/09 11:49:55,0.94
N1,,2024/04/09 11:49:56,0.93
N1,,2024/04/09 11:49:57,0.90
N1,,2024/04/09 11:50:00,0.91
N1,,2024/04/09 11:50:00,0.91
N1,,2024/04/09 11:50:01,0.92
N1,,2024/04/09 11:50:02,0.91
N1,,2024/04/09 11:50:03,0.91
N1,,2024/04/09 11:50:04,0.89
N1,,2024/04/09 11:50:05,0.92
N1,,2024/04/09 11:50:06,0.89
N1,,2024/04/09 11:50:07,0.52
N1,,2024/04/09 11:50:08,0.89
N1,,2024/04/09 11:50:09,0.78
N1,,2024/04/09 11:50:10,0.86
N1,,2024/04/09 11:50:11,0.90
N1,,2024/04/09 11:50:12,0.88
N1,,2024/04/09 11:50:13,0.93
N1,,2024/04/09 11:50:14,0.94
N1,,2024/04/09 11:50:15,0.94
N1,,2024/04/09 11:50:16,0.94
N1,,2024/04/09 11:50:17,0.94
N1,,2024/04/09 11:50:18,0.91
N1,,2024/04/09 11:50:19,0.89
N1,,2024/04/09 11:50:20,0.91
N1,,2024/04/09 11:50:21,0.94
N1,,2024/04/09 11:50:22,0.94
N1,,2024/04/09 11:50:23,0.95
N1,,2024/04/09 11:50:24,0.95
N1,,2024/04/09 11:50:25,0.92
N1,,2024/04/09 11:50:26,0.93
N1,,2024/04/09 11:50:27,0.92
N1,,2024/04/09 11:50:28,0.92
N1,,2024/04/09 11:50:29,0.89
N1,,2024/04/09 11:50:30,0.89
N1,,2024/04/09 11:50:31,0.84
N1,,2024/04/09 11:50:31,0.84
N1,,2024/04/09 11:50:32,0.86
N1,,2024/04/09 11:50:33,0.90
N1,,2024/04/09 11:50:34,0.88
N1,,2024/04/09 11:50:35,0.89
N1,,2024/04/09 11:50:36,0.42
N1,,2024/04/09 11:50:37,0.71
N1,,2024/04/09 11:50:38,0.72
N1,,2024/04/09 11:50:39,0.60
N1,,2024/04/09 11:50:40,0.49
N1,,2024/04/09 11:50:41,0.57
N1,,2024/04/09 11:50:42,0.85
N1,,2024/04/09 11:50:43,0.93
N1,,2024/04/09 11:50:44,0.89
N1,,2024/04/09 11:50:45,0.82
N1,,2024/04/09 11:50:46,0.84
N1,,2024/04/09 11:50:47,0.88
N1,,2024/04/09 11:50:48,0.88
N1,,2024/04/09 11:50:49,0.89
N1,,2024/04/09 11:50:50,0.88
N1,,2024/04/09 11:50:51,0.81
N1,,2024/04/09 11:50:52,0.86
N1,,2024/04/09 11:50:53,0.85
N1,,2024/04/09 11:50:54,0.81
N1,,2024/04/09 11:50:55,0.86
N1,,2024/04/09 11:50:56,0.76
N1,,2024/04/09 11:50:57,0.82
N1,,2024/04/09 11:50:58,0.80
N1,,2024/04/09 11:50:59,0.80
N1,,2024/04/09 11:51:00,0.83
N1,,2024/04/09 11:51:01,0.79
N1,,2024/04/09 11:51:02,0.74
N1,,2024/04/09 11:51:03,0.79
N1,,2024/04/09 11:51:03,0.77
N1,,2024/04/09 11:51:04,0.85
N1,,2024/04/09 11:51:05,0.93
N1,,2024/04/09 11:51:06,0.85
N1,,2024/04/09 11:51:07,0.91
N1,,2024/04/09 11:51:08,0.92
N1,,2024/04/09 11:51:09,0.85
N1,,2024/04/09 11:51:10,0.89
N1,,2024/04/09 11:51:11,0.90
N1,,2024/04/09 11:51:12,0.88
N1,,2024/04/09 11:51:13,0.82
N1,,2024/04/09 11:51:14,0.84
N1,,2024/04/09 11:51:15,0.85
N1,,2024/04/09 11:51:16,0.79
N1,,2024/04/09 11:51:17,0.71
N1,,2024/04/09 11:51:18,0.87
N1,,2024/04/09 11:51:19,0.79
N1,,2024/04/09 11:51:20,0.82
N1,,2024/04/09 11:51:21,0.83
N1,,2024/04/09 11:51:22,0.86
N1,,2024/04/09 11:51:23,0.81
N1,,2024/04/09 11:51:24,0.60
N1,,2024/04/09 11:51:25,0.80
N1,,2024/04/09 11:51:26,0.82
N1,,2024/04/09 11:51:27,0.87
N1,,2024/04/09 11:51:28,0.79
N1,,2024/04/09 11:51:29,0.82
N1,,2024/04/09 11:51:30,0.76
N1,,2024/04/09 11:51:31,0.79
N1,,2024/04/09 11:51:32,0.71
N1,,2024/04/09 11:51:33,0.82
N1,,2024/04/09 11:51:34,0.91
N1,,2024/04/09 11:51:35,0.90
N1,,2024/04/09 11:51:35,0.91
N1,,2024/04/09 11:51:36,0.80
N1,,2024/04/09 11:51:37,0.88
N1,,2024/04/09 11:51:38,0.92
N1,,2024/04/09 11:51:40,0.77
N1,,2024/04/09 11:51:41,0.92
N1,,2024/04/09 11:51:42,0.92
N1,,2024/04/09 11:51:43,0.92
N1,,2024/04/09 11:51:44,0.90
N1,,2024/04/09 11:51:45,0.69
N1,,2024/04/09 11:51:48,0.78
N1,,2024/04/09 11:51:49,0.93
N1,,2024/04/09 11:51:50,0.90
N1,,2024/04/09 11:51:51,0.87
N1,,2024/04/09 11:52:01,0.91
N1,,2024/04/09 11:52:02,0.88
N1,,2024/04/09 11:52:03,0.77
N1,,2024/04/09 11:52:04,0.83
N1,,2024/04/09 11:52:05,0.79
N1,,2024/04/09 11:52:06,0.77
N1,,2024/04/09 11:52:07,0.85
N1,,2024/04/09 11:52:07,0.87
N1,,2024/04/09 11:52:08,0.84
N1,,2024/04/09 11:52:09,0.78
N1,,2024/04/09 11:52:10,0.91
N1,,2024/04/09 11:52:11,0.92
N1,,2024/04/09 11:52:12,0.91
N1,,2024/04/09 11:52:13,0.91
N1,,2024/04/09 11:52:14,0.89
N1,,2024/04/09 11:52:15,0.89
N1,,2024/04/09 11:52:16,0.87
N1,,2024/04/09 11:52:17,0.86
N1,,2024/04/09 11:52:18,0.90
N1,,2024/04/09 11:52:19,0.87
N1,,2024/04/09 11:52:20,0.86
N1,,2024/04/09 11:52:21,0.88
N1,,2024/04/09 11:52:22,0.87
N1,,2024/04/09 11:52:23,0.86
N1,,2024/04/09 11:52:24,0.84
N1,,2024/04/09 11:52:25,0.83
N1,,2024/04/09 11:52:26,0.80
N1,,2024/04/09 11:52:27,0.79
N1,,2024/04/09 11:52:28,0.87
N1,,2024/04/09 11:52:29,0.89
N1,,2024/04/09 11:52:30,0.90
N1,,2024/04/09 11:52:31,0.89
N1,,2024/04/09 11:52:32,0.89
N1,,2024/04/09 11:52:33,0.91
N1,,2024/04/09 11:52:34,0.93
N1,,2024/04/09 11:52:35,0.93
N1,,2024/04/09 11:52:36,0.93
N1,,2024/04/09 11:52:37,0.95
N1,,2024/04/09 11:52:38,0.74
N1,,2024/04/09 11:52:39,0.93
N1,,2024/04/09 11:52:39,0.95
N1,,2024/04/09 11:52:40,0.94
N1,,2024/04/09 11:52:41,0.92
N1,,2024/04/09 11:52:42,0.95
N1,,2024/04/09 11:52:43,0.91
N1,,2024/04/09 11:52:44,0.92
N1,,2024/04/09 11:52:45,0.92
N1,,2024/04/09 11:52:46,0.95
N1,,2024/04/09 11:52:47,0.95
N1,,2024/04/09 11:52:48,0.90
N1,,2024/04/09 11:52:49,0.92
N1,,2024/04/09 11:52:50,0.90
N1,,2024/04/09 11:52:51,0.94
N1,,2024/04/09 11:52:52,0.91
N1,,2024/04/09 11:52:53,0.91
N1,,2024/04/09 11:52:54,0.87
N1,,2024/04/09 12:24:41,0.84
N1,,2024/04/09 12:24:42,0.92
N1,,2024/04/09 12:24:43,0.92
N1,,2024/04/09 12:24:44,0.92
N1,,2024/04/09 12:24:45,0.93
N1,,2024/04/09 12:24:46,0.89
N1,,2024/04/09 12:24:47,0.89
N1,,2024/04/09 12:41:22,0.91
N1,,2024/04/09 12:41:23,0.94
N1,,2024/04/09 12:41:24,0.90
N1,,2024/04/09 12:41:25,0.91
N1,,2024/04/09 12:41:26,0.92
N1,,2024/04/09 12:41:27,0.90
N1,,2024/04/09 12:41:28,0.90
N1,,2024/04/09 12:41:28,0.91
N1,,2024/04/09 12:41:29,0.91
N1,,2024/04/09 12:41:30,0.93
N1,,2024/04/09 12:41:31,0.92
N1,,2024/04/09 12:41:32,0.91
N1,,2024/04/09 12:41:33,0.93
N1,,2024/04/09 12:41:34,0.91
N1,,2024/04/09 12:41:35,0.92
N1,,2024/04/09 12:41:36,0.92
N1,,2024/04/09 12:41:37,0.93
N1,,2024/04/09 12:41:38,0.92
N1,,2024/04/09 12:41:39,0.92
N1,,2024/04/09 12:41:40,0.92
N1,,2024/04/09 12:41:41,0.91
N1,,2024/04/09 12:41:42,0.93
N1,,2024/04/09 12:41:43,0.92
N1,,2024/04/09 12:41:44,0.92
N1,,2024/04/09 12:41:45,0.92
N1,,2024/04/09 12:41:46,0.85
N1,,2024/04/09 12:41:47,0.91
N1,,2024/04/09 12:41:48,0.92
N1,,2024/04/09 12:41:49,0.91
N1,,2024/04/09 12:41:50,0.89
N1,,2024/04/09 12:41:51,0.91
N1,,2024/04/09 12:41:52,0.92
N1,,2024/04/09 12:41:53,0.92
N1,,2024/04/09 12:41:54,0.92
N1,,2024/04/09 12:41:55,0.94
N1,,2024/04/09 12:41:56,0.89
N1,,2024/04/09 12:41:57,0.90
N1,,2024/04/09 12:41:58,0.80
N1,,2024/04/09 12:41:58,0.90
N1,,2024/04/09 12:41:59,0.91
N1,,2024/04/09 12:42:00,0.91
N1,,2024/04/09 12:42:01,0.91
N1,,2024/04/09 12:42:02,0.91
N1,,2024/04/09 12:42:03,0.92
N1,,2024/04/09 12:42:04,0.89
N1,,2024/04/09 12:42:05,0.90
N1,,2024/04/09 12:42:06,0.91
N1,,2024/04/09 12:42:07,0.91
N1,,2024/04/09 12:42:08,0.91
N1,,2024/04/09 12:42:09,0.91
N1,,2024/04/09 12:42:10,0.76
N1,,2024/04/09 12:42:10,0.45
N1,,2024/04/09 12:42:11,0.91
N1,,2024/04/09 12:42:12,0.90
N1,,2024/04/09 12:42:13,0.92
N1,,2024/04/09 12:42:14,0.93
N1,,2024/04/09 12:42:15,0.92
N1,,2024/04/09 12:42:16,0.89
N1,,2024/04/09 12:42:17,0.91
N1,,2024/04/09 12:42:18,0.92
N1,,2024/04/09 12:42:19,0.91
N1,,2024/04/09 12:42:20,0.93
N1,,2024/04/09 12:42:21,0.94
N1,,2024/04/09 12:42:22,0.94
N1,,2024/04/09 12:42:23,0.91
N1,,2024/04/09 12:42:24,0.88
N1,,2024/04/09 12:42:25,0.87
N1,,2024/04/09 12:42:26,0.91
N1,,2024/04/09 12:42:27,0.90
N1,,2024/04/09 12:42:27,0.93
N1,,2024/04/09 12:42:28,0.93
N1,,2024/04/09 12:42:29,0.91
N1,,2024/04/09 12:44:59,0.89
N1,,2024/04/09 12:45:00,0.81
N1,,2024/04/09 12:45:00,0.90
N1,,2024/04/09 12:45:01,0.87
N1,,2024/04/09 12:45:02,0.84
N1,,2024/04/09 12:45:03,0.91
N1,,2024/04/09 12:45:04,0.60
N1,,2024/04/09 12:51:09,0.46
N1,,2024/04/09 12:51:10,0.91
N1,,2024/04/09 12:51:11,0.70
N1,,2024/04/09 12:51:13,0.89
N1,,2024/04/09 12:51:14,0.90
N1,,2024/04/09 12:51:15,0.90
N1,,2024/04/09 12:51:16,0.89
N1,,2024/04/09 12:51:17,0.86
N1,,2024/04/09 12:51:18,0.88
N1,,2024/04/09 12:51:19,0.88
N1,,2024/04/09 12:51:20,0.76
N1,,2024/04/09 12:51:21,0.73
N1,,2024/04/09 12:51:22,0.82
N1,,2024/04/09 12:51:23,0.91
N1,,2024/04/09 12:51:24,0.81
N1,,2024/04/09 12:51:29,0.84
N1,,2024/04/09 12:51:30,0.48
N1,,2024/04/09 12:51:31,0.77
N1,,2024/04/09 13:10:23,0.57
N1,,2024/04/09 13:10:24,0.89
N1,,2024/04/09 13:10:25,0.91
N1,,2024/04/09 13:10:26,0.92
N1,,2024/04/09 13:10:27,0.84
N1,,2024/04/09 13:10:28,0.91
N1,,2024/04/09 13:10:29,0.92
N1,,2024/04/09 13:10:29,0.91
N1,,2024/04/09 13:10:30,0.92
N1,,2024/04/09 13:10:31,0.90
N1,,2024/04/09 13:10:32,0.90
N1,,2024/04/09 13:10:33,0.94
N1,,2024/04/09 13:10:34,0.93
N1,,2024/04/09 13:10:35,0.93
N1,,2024/04/09 13:10:36,0.95
N1,,2024/04/09 13:10:37,0.94
N1,,2024/04/09 13:10:38,0.92
N1,,2024/04/09 13:10:39,0.92
N1,,2024/04/09 13:10:40,0.94
N1,,2024/04/09 13:10:41,0.94
N1,,2024/04/09 13:10:42,0.92
N1,,2024/04/09 13:10:43,0.91
N1,,2024/04/09 13:10:44,0.93
N1,,2024/04/09 13:10:45,0.93
N1,,2024/04/09 13:10:46,0.92
N1,,2024/04/09 13:10:47,0.93
N1,,2024/04/09 13:10:48,0.93
N1,,2024/04/09 13:10:49,0.93
N1,,2024/04/09 13:10:50,0.91
N1,,2024/04/09 13:10:51,0.93
N1,,2024/04/09 13:10:52,0.93
N1,,2024/04/09 13:10:53,0.93
N1,,2024/04/09 13:10:54,0.92
N1,,2024/04/09 13:10:55,0.90
N1,,2024/04/09 13:10:56,0.91
N1,,2024/04/09 13:10:57,0.92
N1,,2024/04/09 13:10:58,0.92
N1,,2024/04/09 13:10:58,0.91
N1,,2024/04/09 13:10:59,0.92
N1,,2024/04/09 13:11:00,0.90
N1,,2024/04/09 13:11:01,0.92
N1,,2024/04/09 13:11:02,0.92
N1,,2024/04/09 13:11:03,0.93
N1,,2024/04/09 13:11:04,0.93
N1,,2024/04/09 13:11:05,0.93
N1,,2024/04/09 13:11:06,0.89
N1,,2024/04/09 13:11:07,0.90
N1,,2024/04/09 13:11:08,0.79
N1,,2024/04/09 13:11:09,0.90
